accessionyear,technique,dateend,creditline,primaryimageurl,places/0/placeid,places/0/type,places/0/displayname,medium,url,id,title,division,datebegin,classification,images/0/baseimageurl,images/0/publiccaption,images/0/displayorder,images/0/idsid,images/0/copyright,images/0/renditionnumber,dimensions,culture,images/1/baseimageurl,images/1/publiccaption,images/1/displayorder,images/1/idsid,images/1/copyright,images/1/renditionnumber,images/2/baseimageurl,images/2/publiccaption,images/2/displayorder,images/2/idsid,images/2/copyright,images/2/renditionnumber,images/3/baseimageurl,images/3/publiccaption,images/3/displayorder,images/3/idsid,images/3/copyright,images/3/renditionnumber,images/4/baseimageurl,images/4/publiccaption,images/4/displayorder,images/4/idsid,images/4/copyright,images/4/renditionnumber,images/5/baseimageurl,images/5/publiccaption,images/5/displayorder,images/5/idsid,images/5/copyright,images/5/renditionnumber,images/6/baseimageurl,images/6/publiccaption,images/6/displayorder,images/6/idsid,images/6/copyright,images/6/renditionnumber,images/7/baseimageurl,images/7/publiccaption,images/7/displayorder,images/7/idsid,images/7/copyright,images/7/renditionnumber,images/8/baseimageurl,images/8/publiccaption,images/8/displayorder,images/8/idsid,images/8/copyright,images/8/renditionnumber,images/9/baseimageurl,images/9/publiccaption,images/9/displayorder,images/9/idsid,images/9/copyright,images/9/renditionnumber,places/1/placeid,places/1/type,places/1/displayname
1943,Cast,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:50767_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/204567,204567,Ceremonial Axe,Asian and Mediterranean Art,-1400,Ritual Implements,http://nrs.harvard.edu/urn-3:HUAM:50767_dynmc,,1,17358166,President and Fellows of Harvard College,50767,H. 22.2 x W. 15.7 x Thickness 1.5 cm (8 3/4 x 6 3/16 x 9/16 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:44462_dynmc,,2,43182638,President and Fellows of Harvard College,44462,http://nrs.harvard.edu/urn-3:HUAM:50768_dynmc,,3,17358167,President and Fellows of Harvard College,50768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:50760_dynmc,2028317,Creation Place,"East Asia, China",Bronze with turquoise inlay,http://harvardartmuseums.org/collections/object/204598,204598,"Knife with Dragon-Headed Handle, Ordos Type",Asian and Mediterranean Art,-1400,Weapons and Ammunition,http://nrs.harvard.edu/urn-3:HUAM:50760_dynmc,,1,17358159,President and Fellows of Harvard College,50760,L. 32.5 x W. 5.5 x D. 2.8 cm (12 13/16 x 2 3/16 x 1 1/8 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:49180_dynmc,,2,43183194,President and Fellows of Harvard College,49180,http://nrs.harvard.edu/urn-3:HUAM:50761_dynmc,,3,17358160,President and Fellows of Harvard College,50761,http://nrs.harvard.edu/urn-3:HUAM:50762_dynmc,,4,17358161,President and Fellows of Harvard College,50762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:50752_dynmc,2028317,Creation Place,"East Asia, China",Bronze with turquoise inlay,http://harvardartmuseums.org/collections/object/204618,204618,Long Turquoise-Inlaid Dagger-Axe with Curved Haft,Asian and Mediterranean Art,-1400,Ritual Implements,http://nrs.harvard.edu/urn-3:HUAM:50752_dynmc,,1,17358151,President and Fellows of Harvard College,50752,L. 40.2 x W. 9.4 x Thickness 1.0 cm (15 13/16 x 3 11/16 x 3/8 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:49169_dynmc,,2,43183191,President and Fellows of Harvard College,49169,http://nrs.harvard.edu/urn-3:HUAM:50753_dynmc,,3,17358152,President and Fellows of Harvard College,50753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-1000,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:50765_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with turquoise inlay,http://harvardartmuseums.org/collections/object/204620,204620,Socketed Ceremonial Axe with Inlaid Haft,Asian and Mediterranean Art,-1400,Ritual Implements,http://nrs.harvard.edu/urn-3:HUAM:50765_dynmc,,1,17358164,President and Fellows of Harvard College,50765,H. 21.1 x W. 13.7 x D. 3.2 cm (8 5/16 x 5 3/8 x 1 1/4 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:44461_dynmc,,2,43182637,President and Fellows of Harvard College,44461,http://nrs.harvard.edu/urn-3:HUAM:50766_dynmc,,3,17358165,President and Fellows of Harvard College,50766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-221,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:44466_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze with gold and silver inlay,http://harvardartmuseums.org/collections/object/204649,204649,Hook-Shaped Fitting in the Form of an Animal Head (One of a Pair),Asian and Mediterranean Art,-475,Riding Equipment,http://nrs.harvard.edu/urn-3:HUAM:44466_dynmc,,1,43182641,President and Fellows of Harvard College,44466,25.6 x 4.4 cm (10 1/16 x 1 3/4 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,Inlaid,-1500,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:30677_dynmc,2028317,Creation Place,"East Asia, China",Bronze with turquoise inlay,http://harvardartmuseums.org/collections/object/204651,204651,Turquoise-Inlaid Plaque with Stylized Animal-Mask Decoration,Asian and Mediterranean Art,-1900,Plaques,http://nrs.harvard.edu/urn-3:HUAM:30677_dynmc,,1,17357907,President and Fellows of Harvard College,30677,H. 17.2 x W. 11.3 x Thickness 0.4 cm (6 3/4 x 4 7/16 x 3/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,,0,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",http://nrs.harvard.edu/urn-3:HUAM:VRS49215_dynmc,2028317,Creation Place,"East Asia, China",Bronze with turquoise inlay,http://harvardartmuseums.org/collections/object/204675,204675,Chariot Rein-Guide (?) with Two Ends in the Form of Animal Heads,Asian and Mediterranean Art,0,Riding Equipment,http://nrs.harvard.edu/urn-3:HUAM:VRS49215_dynmc,,1,20682418,President and Fellows of Harvard College,49215,H. 40 cm (15 3/4 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,,955,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Nasli M. Heeramaneck",http://nrs.harvard.edu/urn-3:HUAM:DDC107932_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/206498,206498,Miniature Stupa with Illustrations of Jataka Tales,Asian and Mediterranean Art,955,Sculpture,http://nrs.harvard.edu/urn-3:HUAM:DDC107932_dynmc,,1,13040593,President and Fellows of Harvard College,DDC107932,13.2 x 8.1 x 7.9 cm (5 3/16 x 3 3/16 x 3 1/8 in.),Chinese,http://nrs.harvard.edu/urn-3:HUAM:VRS34715_dynmc,detail,2,20675573,President and Fellows of Harvard College,34715,http://nrs.harvard.edu/urn-3:HUAM:44283_dynmc,,3,43182631,President and Fellows of Harvard College,44283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,,907,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Charles Bain Hoyt",http://nrs.harvard.edu/urn-3:HUAM:CARP03872_dynmc,2028317,Creation Place,"East Asia, China",Bronze,http://harvardartmuseums.org/collections/object/206518,206518,"Lobed, Covered Incense Container",Asian and Mediterranean Art,618,Boxes,http://nrs.harvard.edu/urn-3:HUAM:CARP03872_dynmc,,1,18731441,President and Fellows of Harvard College,CARP03872,7 x 7.4 cm (2 3/4 x 2 15/16 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,,0,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Dr. Denman W. Ross",http://nrs.harvard.edu/urn-3:HUAM:CARP03881_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze,http://harvardartmuseums.org/collections/object/210350,210350,Covered 'Ding' Tripod Vessel,Asian and Mediterranean Art,0,Vessels,http://nrs.harvard.edu/urn-3:HUAM:CARP03881_dynmc,,1,18731450,President and Fellows of Harvard College,CARP03881,H. 29.21 cm (11 1/2 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,,0,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Nettie G. Naumburg",http://nrs.harvard.edu/urn-3:HUAM:INV147534_dynmc,2028317,Creation Place,"East Asia, China",Bronze,http://harvardartmuseums.org/collections/object/231868,231868,Incense Burner,Asian and Mediterranean Art,0,Vessels,http://nrs.harvard.edu/urn-3:HUAM:INV147534_dynmc,,1,20309837,President and Fellows of Harvard College,INV147534,,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,602,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Shao F. Wang in honor of Robert Hatfield Ellsworth",http://nrs.harvard.edu/urn-3:HUAM:CARP03840_dynmc,2028317,Creation Place,"East Asia, China",Cast bronze; with inscription on three sides of the stand dating to 602,http://harvardartmuseums.org/collections/object/101448,101448,"Small Votive Image Representing Laozi Seated at a Curved, Three-Legged Writing Desk, with Attached Flaming Halo and Stand",Asian and Mediterranean Art,602,Sculpture,http://nrs.harvard.edu/urn-3:HUAM:CARP03840_dynmc,,1,18731410,President and Fellows of Harvard College,CARP03840,H. 10 x W. 3.3 x D. 3.2 cm (3 15/16 x 1 5/16 x 1 1/4 in.),Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
